Date,Day,Time (ET),International
2025-09-04,Thursday,8:20p,No
2025-09-05,Friday,8:00p,Yes
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,1:00p,No
2025-09-07,Sunday,4:05p,No
2025-09-07,Sunday,4:05p,No
2025-09-07,Sunday,4:25p,No
2025-09-07,Sunday,4:25p,No
2025-09-07,Sunday,8:20p,No
2025-09-08,Monday,8:15p,No
2025-09-11,Thursday,8:15p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,1:00p,No
2025-09-14,Sunday,4:05p,No
2025-09-14,Sunday,4:05p,No
2025-09-14,Sunday,4:25p,No
2025-09-14,Sunday,8:20p,No
2025-09-15,Monday,7:00p,No
2025-09-15,Monday,10:00p,No
2025-09-18,Thursday,8:15p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,1:00p,No
2025-09-21,Sunday,4:05p,No
2025-09-21,Sunday,4:05p,No
2025-09-21,Sunday,4:25p,No
2025-09-21,Sunday,4:25p,No
2025-09-21,Sunday,8:20p,No
2025-09-22,Monday,8:15p,No
2025-09-25,Thursday,8:15p,No
2025-09-28,Sunday,9:30a,Yes
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,1:00p,No
2025-09-28,Sunday,4:05p,No
2025-09-28,Sunday,4:05p,No
2025-09-28,Sunday,4:25p,No
2025-09-28,Sunday,4:25p,No
2025-09-28,Sunday,8:20p,No
2025-09-29,Monday,7:15p,No
2025-09-29,Monday,8:15p,No
2025-10-02,Thursday,8:15p,No
2025-10-05,Sunday,9:30a,Yes
2025-10-05,Sunday,1:00p,No
2025-10-05,Sunday,1:00p,No
2025-10-05,Sunday,1:00p,No
2025-10-05,Sunday,1:00p,No
2025-10-05,Sunday,1:00p,No
