Away,Home
DAL,PHI
KC,LAC
TB,ATL
CIN,CLE
MIA,IND
CAR,JAX
LV,NE
ARI,NO
PIT,NYJ
NYG,WAS
TEN,DEN
SF,SEA
DET,GB
HOU,LAR
BAL,BUF
MIN,CHI
WAS,GB
CLE,BAL
JAX,CIN
NYG,DAL
CHI,DET
NE,MIA
SF,NO
BUF,NYJ
SEA,PIT
LAR,TEN
CAR,ARI
DEN,IND
PHI,KC
ATL,MIN
TB,HOU
LAC,LV
MIA,BUF
ATL,CAR
GB,CLE
HOU,JAX
CIN,MIN
PIT,NE
LAR,PHI
NYJ,TB
IND,TEN
LV,WAS
DEN,LAC
NO,SEA
DAL,CHI
ARI,SF
KC,NYG
DET,BAL
SEA,ARI
PIT,MIN
WAS,ATL
NO,BUF
CLE,DET
TEN,HOU
CAR,NE
LAC,NYG
PHI,TB
IND,LAR
JAX,SF
BAL,KC
CHI,LV
GB,DAL
NYJ,MIA
CIN,DEN
SF,LAR
CLE,MIN
HOU,BAL
MIA,CAR
LV,IND
NYG,NO
DAL,NYJ
DEN,PHI
TEN,ARI
TB,SEA
DET,CIN
WAS,LAC
NE,BUF
KC,JAX
PHI,NYG
NYJ,DEN
LAR,BAL
DAL,CAR
ARI,IND
SEA,JAX
LAC,MIA
CLE,PIT
SF,TB
TEN,LV
CIN,GB
NE,NO
DET,KC
BUF,ATL
CHI,WAS
PIT,CIN
LAR,JAX
NO,CHI
MIA,CLE
LV,KC
PHI,MIN
CAR,NYJ
NE,TEN
NYG,DEN
IND,LAC
GB,ARI
WAS,DAL
ATL,SF
TB,DET
HOU,SEA
MIN,LAC
MIA,ATL
CHI,BAL
BUF,CAR
NYJ,CIN
SF,HOU
CLE,NE
NYG,PHI
TB,NO
DAL,DEN
TEN,IND
GB,PIT
WAS,KC
BAL,MIA
CHI,CIN
MIN,DET
CAR,GB
DEN,HOU
ATL,NE
SF,NYG
IND,PIT
LAC,TEN
NO,LAR
JAX,LV
KC,BUF
SEA,WAS
ARI,DAL
LV,DEN
IND,ATL
NO,CAR
NYG,CHI
JAX,HOU
BUF,MIA
BAL,MIN
CLE,NYJ
NE,TB
ARI,SEA
LAR,SF
DET,WAS
PIT,LAC
PHI,GB
NYJ,NE
MIA,WAS
CAR,ATL
TB,BUF
LAC,JAX
CHI,MIN
GB,NYG
CIN,PIT
HOU,TEN
SF,ARI
SEA,LAR
BAL,CLE
KC,DEN
DET,PHI
DAL,LV
BUF,HOU
NYJ,BAL
PIT,CHI
NE,CIN
NYG,DET
MIN,GB
IND,KC
SEA,TEN
JAX,ARI
CLE,LV
PHI,DAL
ATL,NO
TB,LAR
CAR,SF
GB,DET
KC,DAL
CIN,BAL
CHI,PHI
LAR,CAR
SF,CLE
HOU,IND
NO,MIA
ATL,NYJ
ARI,TB
JAX,TEN
MIN,SEA
LV,LAC
BUF,PIT
DEN,WAS
NYG,NE
DAL,DET
SEA,ATL
PIT,BAL
TEN,CLE
CHI,GB
IND,JAX
WAS,MIN
MIA,NYJ
NO,TB
DEN,LV
LAR,ARI
CIN,BUF
HOU,KC
PHI,LAC
ATL,TB
CLE,CHI
BAL,CIN
ARI,HOU
NYJ,JAX
LAC,KC
BUF,NE
WAS,NYG
LV,PHI
GB,DEN
DET,LAR
CAR,NO
IND,SEA
TEN,SF
MIN,DAL
MIA,PIT
LAR,SEA
GB,CHI
PHI,WAS
NE,BAL
TB,CAR
BUF,CLE
LAC,DAL
NYJ,NO
MIN,NYG
KC,TEN
ATL,ARI
JAX,DEN
PIT,DET
LV,HOU
CIN,MIA
SF,IND
DAL,WAS
DET,MIN
DEN,KC
SEA,CAR
ARI,CIN
BAL,GB
HOU,LAC
NYG,LV
PIT,CLE
JAX,IND
TB,MIA
NE,NYJ
NO,TEN
PHI,BUF
CHI,SF
LAR,ATL
NO,ATL
NYJ,BUF
DET,CHI
CLE,CIN
LAC,DEN
IND,HOU
TEN,JAX
ARI,LAR
KC,LV
GB,MIN
MIA,NE
DAL,NYG
WAS,PHI
BAL,PIT
SEA,SF
CAR,TB
